,Complexity,Europe,Japan,USA,FS,Filing,GAAP,Fee
9,8,0,0,1,1,0,0,14.505076
25,8,0,0,1,1,0,0,14.505076
28,8,0,0,1,1,0,0,14.505076
31,4,0,1,0,0,1,0,31.786222
32,6,0,0,1,1,0,0,19.025557
38,8,0,0,1,1,0,0,14.505076
39,8,0,0,1,1,0,0,14.505076
42,8,0,0,1,1,0,0,14.505076
47,6,0,0,1,1,0,0,19.025557
53,4,0,1,0,0,1,0,31.786222
57,4,0,0,1,1,0,0,26.872694
70,3,0,1,0,0,1,0,35.29935
72,8,0,0,1,1,0,0,14.505076
82,4,0,0,1,1,0,0,26.872694
84,8,0,0,1,1,0,0,14.505076
87,8,0,0,1,1,0,0,14.505076
88,8,0,0,1,1,0,0,14.505076
91,8,0,0,1,1,0,0,14.505076
99,6,0,0,1,1,0,0,19.025557
105,8,0,0,1,1,0,0,14.505076
115,8,0,0,1,1,0,0,14.505076
117,4,1,0,0,0,0,1,26.220835
119,4,1,0,0,0,0,1,26.220835
121,4,1,0,0,0,0,1,26.220835
127,4,0,1,0,0,1,0,31.786222
128,4,0,0,1,1,0,0,26.872694
131,6,0,0,1,1,0,0,19.025557
147,4,0,1,0,0,1,0,31.786222
151,6,0,0,1,1,0,0,19.025557
163,8,0,0,1,1,0,0,14.505076
165,4,0,1,0,0,1,0,31.786222
172,6,0,0,1,1,0,0,19.02556
174,6,0,0,1,1,0,0,19.025557
177,4,1,0,0,0,0,1,26.220835
183,4,0,0,1,1,0,0,26.872694
185,8,0,0,1,1,0,0,14.505076
192,6,0,0,1,1,0,0,19.025557
193,4,0,0,1,1,0,0,26.872694
195,4,1,0,0,0,0,1,26.220835
197,6,0,0,1,1,0,0,19.025557
202,4,0,1,0,0,1,0,31.786222
203,4,0,1,0,0,1,0,31.786222
211,8,0,0,1,1,0,0,14.505076
242,4,1,0,0,0,0,1,26.220835
243,4,0,0,1,1,0,0,26.872694
244,4,0,1,0,0,1,0,31.786222
251,6,0,0,1,1,0,0,19.025557
257,6,0,0,1,1,0,0,19.025557
262,8,0,0,1,1,0,0,14.505076
265,4,0,1,0,0,1,0,31.786222
267,4,0,0,1,1,0,0,26.872694
273,6,1,0,0,0,0,1,19.77181
277,4,0,1,0,0,1,0,31.786222
285,8,0,0,1,1,0,0,14.505076
288,8,0,0,1,1,0,0,14.505076
290,8,0,0,1,1,0,0,14.505076
291,4,1,0,0,0,0,1,26.220835
292,4,0,1,0,0,1,0,31.786222
314,6,0,0,1,1,0,0,19.025557
321,4,0,0,1,1,0,0,26.872694
323,4,1,0,0,0,0,1,26.220835
333,4,0,1,0,0,1,0,31.786222
335,4,0,0,1,1,0,0,26.872694
337,6,0,0,1,1,0,0,19.02556
338,4,0,0,1,1,0,0,26.872694
339,4,0,1,0,0,1,0,31.786222
345,4,0,1,0,0,1,0,31.786222
347,4,0,0,1,1,0,0,26.872694
349,4,1,0,0,0,0,1,26.220835
354,4,1,0,0,0,0,1,26.220835
358,6,0,0,1,1,0,0,19.025557
359,8,0,0,1,1,0,0,14.505076
362,4,0,0,1,1,0,0,26.872694
364,4,0,0,1,1,0,0,26.872694
369,4,1,0,0,0,0,1,26.220835
376,4,0,1,0,0,1,0,31.786222
378,4,0,1,0,0,1,0,31.786222
390,4,0,0,1,1,0,0,26.872694
